序號,分類,字母,單字或片語,詞性縮寫,詞性,中文釋義,來源
2627,TOEIC 多益必考單字,S,skillful,a,形容詞,有技巧的,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
2628,TOEIC 多益必考單字,S,skim,v,動詞,撇去；瀏覽；略讀 n 脫脂牛奶,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
2629,TOEIC 多益必考單字,S,slash,v,動詞,減低；砍傷；抨擊 n 砍傷；砍痕,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
2630,TOEIC 多益必考單字,S,slice,n,名詞,薄片；切片 v 切下；割去；,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
2631,TOEIC 多益必考單字,S,slip,v,動詞,滑動；滑跤 n 失足；疏忽；錯誤,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
2632,TOEIC 多益必考單字,S,slippery,a,形容詞,滑的；油滑的,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
2633,TOEIC 多益必考單字,S,slogan,n,名詞,口號；標語,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
2634,TOEIC 多益必考單字,S,slope,n,名詞,傾斜；坡度 v 傾斜仿,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
2635,TOEIC 多益必考單字,S,sloppy,a,形容詞,稀薄的；邋遢的,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
2636,TOEIC 多益必考單字,S,slot,n,名詞,投幣口；自動販賣機,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
2637,TOEIC 多益必考單字,S,slump,v,動詞,倒下；陷落 n 下降；不景氣,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
2638,TOEIC 多益必考單字,S,smoothl,ad,副詞,平滑地；流暢地,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
2639,TOEIC 多益必考單字,S,soar,v,動詞,往上飛舞，升 n 高飛；高聳,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
2640,TOEIC 多益必考單字,S,society,n,名詞,社會；交際,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
2641,TOEIC 多益必考單字,S,software,n,名詞,軟體,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
2642,TOEIC 多益必考單字,S,solace,n,名詞,安慰；慰藉 v 安慰,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
2643,TOEIC 多益必考單字,S,sola,a,形容詞,太陽的；日光的,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
2644,TOEIC 多益必考單字,S,solely,ad,副詞,單獨地；唯一地,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
2645,TOEIC 多益必考單字,S,solicit,v,動詞,請求；懇求,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
2646,TOEIC 多益必考單字,S,solve,v,動詞,解決；解答,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
2647,TOEIC 多益必考單字,S,sophisticated,a,形容詞,世故的；精緻的,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
2648,TOEIC 多益必考單字,S,sort,v,動詞,挑選；區分 n 種類；品種,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
2649,TOEIC 多益必考單字,S,sound,n,名詞,聲音；響聲 v 聽起來,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
2650,TOEIC 多益必考單字,S,source,n,名詞,根源；來源 v 隔開,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
2651,TOEIC 多益必考單字,S,space,n,名詞,空間；宇宙,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
2652,TOEIC 多益必考單字,S,span,n,名詞,礅距；跨度 v 橫跨；跨越,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
2653,TOEIC 多益必考單字,S,special,a,形容詞,特別的,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
2654,TOEIC 多益必考單字,S,specialize,v,動詞,專精於,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
2655,TOEIC 多益必考單字,S,specialty,n,名詞,專業；專長,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
2656,TOEIC 多益必考單字,S,specification,n,名詞,載明；詳述,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
2657,TOEIC 多益必考單字,S,specify,v,動詞,具體指定；詳細指明,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
2658,TOEIC 多益必考單字,S,speech,n,名詞,演說；言論,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
2659,TOEIC 多益必考單字,S,speed,n,名詞,快速；迅速 v 促進；加快,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
2660,TOEIC 多益必考單字,S,spend,v,動詞,花費；浪費,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
2661,TOEIC 多益必考單字,S,splendid,a,形容詞,壯麗的；輝煌的,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
2662,TOEIC 多益必考單字,S,sponsor,n,名詞,贊助商,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
2663,TOEIC 多益必考單字,S,sponsorship,n,名詞,資助；支持,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
2664,TOEIC 多益必考單字,S,spot,n,名詞,斑點；場所 a 立即 v 玷汙；汙辱,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
2665,TOEIC 多益必考單字,S,spray,n,名詞,噴霧；浪花 v 噴灑,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
2666,TOEIC 多益必考單字,S,spread,v,動詞,伸展；傳播 n 蔓延；流行,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
2667,TOEIC 多益必考單字,S,spring,n,名詞,春天；活力 v 跳躍；提出,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
2668,TOEIC 多益必考單字,S,sprinkle,v,動詞,灑；噴；淋 n 稀疏小雨；少量,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
2669,TOEIC 多益必考單字,S,spy,n,名詞,間諜；密探 v 監視；偵察,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
2670,TOEIC 多益必考單字,S,square,n,名詞,正方形；廣場 a 正直的公正的,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
2671,TOEIC 多益必考單字,S,stability,n,名詞,穩定；穩定性,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
2672,TOEIC 多益必考單字,S,stable,n,名詞,馬；馬棚；畜舍,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
2673,TOEIC 多益必考單字,S,stack,n,名詞,一堆，一疊；乾草堆 v 堆放,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
2674,TOEIC 多益必考單字,S,staff,n,名詞,職員；工作人員,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
2675,TOEIC 多益必考單字,S,stage,n,名詞,舞臺；階段 v 籌劃；舉行,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
2676,TOEIC 多益必考單字,S,stake,n,名詞,危險；股本 v 資助；押下,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
2677,TOEIC 多益必考單字,S,stance,n,名詞,立場；態度,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
2678,TOEIC 多益必考單字,S,stand,v,動詞,站立；站著 n 立場；態度,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
2679,TOEIC 多益必考單字,S,standard,n,名詞,標準；水準 a 標準的；一流的,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
2680,TOEIC 多益必考單字,S,standpoint,n,名詞,立場；觀點,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
2681,TOEIC 多益必考單字,S,staple,n,名詞,主要產品 a 主要的,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
2682,TOEIC 多益必考單字,S,state,n,名詞,狀況，形態；國家；州 v 陳述；聲明,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
2683,TOEIC 多益必考單字,S,statement,n,名詞,陳述；說明,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
2684,TOEIC 多益必考單字,S,station,n,名詞,車站；駐地；身分,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
2685,TOEIC 多益必考單字,S,stationary,a,形容詞,固定的；停滯的,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
2686,TOEIC 多益必考單字,S,stationery,n,名詞,文具；信,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
2687,TOEIC 多益必考單字,S,statistics,n,名詞,統計；統計資料,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
2688,TOEIC 多益必考單字,S,status,n,名詞,地位；身分,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
2689,TOEIC 多益必考單字,S,steadfast,a,形容詞,堅定的；不動搖的,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
2690,TOEIC 多益必考單字,S,steady,a,形容詞,穩固的；平穩的 v 使穩固；使穩定資,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
2691,TOEIC 多益必考單字,S,steam,n,名詞,蒸汽；水蒸汽 v 蒸發；冒熱氣,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
2692,TOEIC 多益必考單字,S,stem,v,動詞,起源於；攔住；阻擋 n 莖，樹幹,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
2693,TOEIC 多益必考單字,S,stick,n,名詞,枝條；棒狀物 v 黏貼；堅持；固守,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
2694,TOEIC 多益必考單字,S,stock,n,名詞,進貨；庫存品；股票 v 庫存；貯存 a 庫存的,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
2695,TOEIC 多益必考單字,S,storage,n,名詞,貯藏；保管,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
2696,TOEIC 多益必考單字,S,store,n,名詞,店舖；貯存 v 貯存,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
2697,TOEIC 多益必考單字,S,storm,n,名詞,暴風雨；爆發；激動明,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
2698,TOEIC 多益必考單字,S,stormy,a,形容詞,暴風雨的；暴躁的 v 橫衝直撞；猛衝；起風暴,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
2699,TOEIC 多益必考單字,S,storyline,n,名詞,故事；情節,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
2700,TOEIC 多益必考單字,S,stout,a,形容詞,頑強的；牢固的；粗壯的,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
2701,TOEIC 多益必考單字,S,straight,a,形容詞,筆直的；正直的 ad 立刻；馬上,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
2702,TOEIC 多益必考單字,S,straightforward,a,形容詞,徑直的；簡單的 ad 坦率地；直截了當地,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
2703,TOEIC 多益必考單字,S,strategy,n,名詞,策略；計謀,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
2704,TOEIC 多益必考單字,S,stream,n,名詞,小河；溪流 v 流；流動,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
2705,TOEIC 多益必考單字,S,streamline,a,形容詞,流線型的,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
2706,TOEIC 多益必考單字,S,strength,n,名詞,力氣；實力強度,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
2707,TOEIC 多益必考單字,S,strengthen,v,動詞,增強；鞏固,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
2708,TOEIC 多益必考單字,S,stress,n,名詞,壓力；緊張；著重 v 強調；著重,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
2709,TOEIC 多益必考單字,S,stretch,n,名詞,伸直；展開，曲解 v 伸縮；延續；吹牛,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
2710,TOEIC 多益必考單字,S,strike,v,動詞,打擊；攻擊 n 罷工；打擊,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
2711,TOEIC 多益必考單字,S,strive,v,動詞,力爭；苦幹,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
2712,TOEIC 多益必考單字,S,structure,n,名詞,結構 v 構造,https://web.szmc.edu.tw/Study/GEC/LICC/data/LC/TOEIC/%E5%85%A8%E6%96%B0%E5%88%B6%E5%A4%9A%E7%9B%8ATOEIC%E5%BF%85%E8%80%83%E5%96%AE%E5%AD%973000.pdf
